lambda,coeff_feature_1,coeff_feature_2,coeff_feature_3,coeff_feature_4,coeff_feature_5,coeff_feature_6,coeff_feature_7,coeff_feature_8,coeff_feature_9,coeff_feature_10
1.16,19.25656201505531,-11.574024482167351,-3.8747297948536135,4.026101640514073,-8.689975403929834,-10.629179471284342,-0.9766781770394021,-6.937805143730684,-22.310286291090172,-1.6698465726687393
1.2,19.2556072730225,-11.573439007697587,-3.8745534726836968,4.025987325362494,-8.689537405787584,-10.628589614883186,-0.9766640855006292,-6.9373672452355795,-22.30912705654838,-1.6696863888454263
1.24,19.25465262542155,-11.572853592791432,-3.8743771663134146,4.025873013830445,-8.689099452955787,-10.627999823828542,-0.9766499913257221,-6.936929399875057,-22.307967944048514,-1.6695262279054315
1.28,19.253698072238464,-11.57226823743976,-3.874200875740702,4.025758705918458,-8.688661545427252,-10.627410098109545,-0.9766358945157907,-6.936491607639658,-22.30680895357105,-1.669366089844392
1.32,19.252743613459323,-11.571682941633423,-3.8740246009634927,4.025644401627045,-8.688223683194794,-10.626820437715354,-0.9766217950719362,-6.936053868519935,-22.305650085096488,-1.6692059746579506
1.36,19.25178924907014,-11.571097705363286,-3.8738483419797207,4.025530100956741,-8.687785866251236,-10.62623084263512,-0.9766076929952696,-6.9356161825064575,-22.304491338605352,-1.6690458823417438
1.4,19.250834979056982,-11.57051252862024,-3.873672098787325,4.025415803908064,-8.68734809458939,-10.625641312858018,-0.9765935882868992,-6.93517854958977,-22.3033327140782,-1.6688858128914068
1.44,19.24988080340588,-11.569927411395124,-3.873495871384245,4.025301510481538,-8.686910368202092,-10.62505184837319,-0.9765794809479265,-6.934740969760434,-22.30217421149553,-1.6687257663025818
1.48,19.248926722102894,-11.56934235367885,-3.8733196597684096,4.025187220677689,-8.68647268708214,-10.624462449169808,-0.9765653709794571,-6.934303443009016,-22.301015830837876,-1.668565742570916
1.52,19.247972735134077,-11.568757355462264,-3.8731434639377613,4.025072934497038,-8.686035051222367,-10.623873115237028,-0.9765512583826037,-6.93386596932608,-22.299857572085774,-1.6684057416920481
1.56,19.247018842485488,-11.568172416736262,-3.872967283890237,4.024958651940104,-8.685597460615606,-10.62328384656403,-0.9765371431584663,-6.933428548702195,-22.29869943521976,-1.6682457636616208
1.6,19.246065044143187,-11.567587537491702,-3.8727911196237677,4.0248443730074115,-8.685159915254676,-10.622694643139983,-0.9765230253081483,-6.932991181127919,-22.297541420220366,-1.6680858084752819
1.64,19.24511134009324,-11.567002717719488,-3.8726149711363007,4.024730097699489,-8.684722415132413,-10.62210550495405,-0.9765089048327555,-6.93255386659383,-22.29638352706814,-1.6679258761286748
1.68,19.244157730321696,-11.566417957410497,-3.8724388384257717,4.02461582601685,-8.684284960241632,-10.621516431995403,-0.9764947817333965,-6.932116605090499,-22.295225755743637,-1.6677659666174476
1.72,19.24320421481463,-11.565833256555605,-3.8722627214901157,4.024501557960015,-8.683847550575168,-10.620927424253235,-0.9764806560111687,-6.931679396608507,-22.29406810622742,-1.6676060799372492
1.76,19.24225079355813,-11.565248615145705,-3.8720866203272726,4.024387293529511,-8.68341018612586,-10.620338481716715,-0.9764665276671767,-6.93124224113843,-22.292910578500063,-1.6674462160837247
1.8,19.24129746653825,-11.564664033171683,-3.8719105349351817,4.024273032725857,-8.682972866886537,-10.619749604375025,-0.9764523967025254,-6.930805138670839,-22.291753172542094,-1.6672863750525297
1.84,19.240344233741077,-11.564079510624431,-3.871734465311786,4.024158775549571,-8.682535592850034,-10.619160792217347,-0.9764382631183146,-6.930368089196326,-22.29059588833409,-1.6671265568393108
1.88,19.239391095152676,-11.563495047494849,-3.871558411455023,4.024044522001176,-8.682098364009205,-10.618572045232888,-0.9764241269156462,-6.929931092705473,-22.289438725856638,-1.6669667614397248
1.92,19.23843805075915,-11.562910643773815,-3.871382373362835,4.023930272081185,-8.681661180356862,-10.617983363410806,-0.9764099880956257,-6.929494149188865,-22.2882816850903,-1.6668069888494204
1.96,19.23748510054656,-11.562326299452238,-3.8712063510331567,4.023816025790129,-8.681224041885862,-10.617394746740313,-0.9763958466593504,-6.929057258637088,-22.28712476601565,-1.6666472390640534
